"METRO_ID"	"Metropolitan areas"	"VAR"	"Variables"	"TIME"	"Year"	"Unit Code"	"Unit"	"PowerCode Code"	"PowerCode"	"Reference Period Code"	"Reference Period"	"Value"	"Flag Codes"	"Flags"
"AT001"	"Vienna"	"GDP_PC"	"GDP per capita (US$)"	"2007"	"2007"	"USD"	"US Dollar"	"0"	"Units"	"2010"	"2010"	48254.48		
"AT001"	"Vienna"	"GDP_PC"	"GDP per capita (US$)"	"2008"	"2008"	"USD"	"US Dollar"	"0"	"Units"	"2010"	"2010"	48755.43		
"AT001"	"Vienna"	"GDP_PC"	"GDP per capita (US$)"	"2009"	"2009"	"USD"	"US Dollar"	"0"	"Units"	"2010"	"2010"	46862.31		
"AT001"	"Vienna"	"GDP_PC"	"GDP per capita (US$)"	"2010"	"2010"	"USD"	"US Dollar"	"0"	"Units"	"2010"	"2010"	47076.79		
"AT001"	"Vienna"	"GDP_PC"	"GDP per capita (US$)"	"2011"	"2011"	"USD"	"US Dollar"	"0"	"Units"	"2010"	"2010"	47604.65		
"AT001"	"Vienna"	"GDP_PC"	"GDP per capita (US$)"	"2012"	"2012"	"USD"	"US Dollar"	"0"	"Units"	"2010"	"2010"	47307.24		
"AT001"	"Vienna"	"CO2_PC"	"CO2 emissions per capita  (tonnes per inhabitant)"	"2000"	"2000"	"TONNE"	"Tonnes"	"0"	"Units"			12.77		
"AT001"	"Vienna"	"CO2_PC"	"CO2 emissions per capita  (tonnes per inhabitant)"	"2005"	"2005"	"TONNE"	"Tonnes"	"0"	"Units"			15.42		
"AT001"	"Vienna"	"CO2_PC"	"CO2 emissions per capita  (tonnes per inhabitant)"	"2008"	"2008"	"TONNE"	"Tonnes"	"0"	"Units"			14.23		
"AT001"	"Vienna"	"UNEMP_R"	"Unemployment as a share of the labour force (%)"	"2000"	"2000"	"PC"	"Percentage"	"0"	"Units"			4.77		
"AT001"	"Vienna"	"UNEMP_R"	"Unemployment as a share of the labour force (%)"	"2001"	"2001"	"PC"	"Percentage"	"0"	"Units"			4.83		
"AT001"	"Vienna"	"UNEMP_R"	"Unemployment as a share of the labour force (%)"	"2002"	"2002"	"PC"	"Percentage"	"0"	"Units"			5.82		
"AT001"	"Vienna"	"UNEMP_R"	"Unemployment as a share of the labour force (%)"	"2003"	"2003"	"PC"	"Percentage"	"0"	"Units"			6.24		
"AT001"	"Vienna"	"UNEMP_R"	"Unemployment as a share of the labour force (%)"	"2004"	"2004"	"PC"	"Percentage"	"0"	"Units"			7.2		
"AT001"	"Vienna"	"UNEMP_R"	"Unemployment as a share of the labour force (%)"	"2005"	"2005"	"PC"	"Percentage"	"0"	"Units"			7.37		
"AT001"	"Vienna"	"UNEMP_R"	"Unemployment as a share of the labour force (%)"	"2006"	"2006"	"PC"	"Percentage"	"0"	"Units"			7.05		
"AT001"	"Vienna"	"UNEMP_R"	"Unemployment as a share of the labour force (%)"	"2007"	"2007"	"PC"	"Percentage"	"0"	"Units"			6.57		
"AT001"	"Vienna"	"UNEMP_R"	"Unemployment as a share of the labour force (%)"	"2008"	"2008"	"PC"	"Percentage"	"0"	"Units"			5.51		
"AT001"	"Vienna"	"UNEMP_R"	"Unemployment as a share of the labour force (%)"	"2009"	"2009"	"PC"	"Percentage"	"0"	"Units"			6.31		
"AT001"	"Vienna"	"UNEMP_R"	"Unemployment as a share of the labour force (%)"	"2010"	"2010"	"PC"	"Percentage"	"0"	"Units"			6.02		
"AT001"	"Vienna"	"UNEMP_R"	"Unemployment as a share of the labour force (%)"	"2011"	"2011"	"PC"	"Percentage"	"0"	"Units"			5.99		
"AT001"	"Vienna"	"UNEMP_R"	"Unemployment as a share of the labour force (%)"	"2012"	"2012"	"PC"	"Percentage"	"0"	"Units"			6.62		
"AT001"	"Vienna"	"UNEMP_R"	"Unemployment as a share of the labour force (%)"	"2013"	"2013"	"PC"	"Percentage"	"0"	"Units"			7.03		
"AT001"	"Vienna"	"PCT_INTENSITY"	"PCT patents applications per 10,000 inhabitants"	"2000"	"2000"	"RATIO"	"Ratio"	"0"	"Units"			0.9		
"AT001"	"Vienna"	"PCT_INTENSITY"	"PCT patents applications per 10,000 inhabitants"	"2001"	"2001"	"RATIO"	"Ratio"	"0"	"Units"			0.97		
"AT001"	"Vienna"	"PCT_INTENSITY"	"PCT patents applications per 10,000 inhabitants"	"2002"	"2002"	"RATIO"	"Ratio"	"0"	"Units"			1.06		
"AT001"	"Vienna"	"PCT_INTENSITY"	"PCT patents applications per 10,000 inhabitants"	"2003"	"2003"	"RATIO"	"Ratio"	"0"	"Units"			1.15		
"AT001"	"Vienna"	"PCT_INTENSITY"	"PCT patents applications per 10,000 inhabitants"	"2004"	"2004"	"RATIO"	"Ratio"	"0"	"Units"			1.34		
"AT001"	"Vienna"	"PCT_INTENSITY"	"PCT patents applications per 10,000 inhabitants"	"2005"	"2005"	"RATIO"	"Ratio"	"0"	"Units"			1.31		
"AT001"	"Vienna"	"PCT_INTENSITY"	"PCT patents applications per 10,000 inhabitants"	"2006"	"2006"	"RATIO"	"Ratio"	"0"	"Units"			1.67		
"AT001"	"Vienna"	"PCT_INTENSITY"	"PCT patents applications per 10,000 inhabitants"	"2007"	"2007"	"RATIO"	"Ratio"	"0"	"Units"			1.49		
"AT001"	"Vienna"	"PCT_INTENSITY"	"PCT patents applications per 10,000 inhabitants"	"2008"	"2008"	"RATIO"	"Ratio"	"0"	"Units"			1.32		
"AT002"	"Graz"	"POP_DENS"	"Population density (persons per km2)"	"2000"	"2000"	"RATIO"	"Ratio"	"0"	"Units"			179.92		
"AT002"	"Graz"	"POP_DENS"	"Population density (persons per km2)"	"2001"	"2001"	"RATIO"	"Ratio"	"0"	"Units"			181.59		
"AT002"	"Graz"	"POP_DENS"	"Population density (persons per km2)"	"2002"	"2002"	"RATIO"	"Ratio"	"0"	"Units"			183.28		
"AT002"	"Graz"	"POP_DENS"	"Population density (persons per km2)"	"2003"	"2003"	"RATIO"	"Ratio"	"0"	"Units"			185.01		
"AT002"	"Graz"	"POP_DENS"	"Population density (persons per km2)"	"2004"	"2004"	"RATIO"	"Ratio"	"0"	"Units"			186.76		
"AT002"	"Graz"	"POP_DENS"	"Population density (persons per km2)"	"2005"	"2005"	"RATIO"	"Ratio"	"0"	"Units"			188.55		
"AT002"	"Graz"	"POP_DENS"	"Population density (persons per km2)"	"2006"	"2006"	"RATIO"	"Ratio"	"0"	"Units"			190.36		
"AT002"	"Graz"	"POP_DENS"	"Population density (persons per km2)"	"2007"	"2007"	"RATIO"	"Ratio"	"0"	"Units"			192.2		
"AT002"	"Graz"	"POP_DENS"	"Population density (persons per km2)"	"2008"	"2008"	"RATIO"	"Ratio"	"0"	"Units"			194.07		
"AT002"	"Graz"	"POP_DENS"	"Population density (persons per km2)"	"2009"	"2009"	"RATIO"	"Ratio"	"0"	"Units"			195.97		
"AT002"	"Graz"	"POP_DENS"	"Population density (persons per km2)"	"2010"	"2010"	"RATIO"	"Ratio"	"0"	"Units"			197.91		
"AT002"	"Graz"	"POP_DENS"	"Population density (persons per km2)"	"2011"	"2011"	"RATIO"	"Ratio"	"0"	"Units"			199.87		
"AT002"	"Graz"	"POP_DENS"	"Population density (persons per km2)"	"2012"	"2012"	"RATIO"	"Ratio"	"0"	"Units"			201.87		
"AT002"	"Graz"	"POP_DENS"	"Population density (persons per km2)"	"2013"	"2013"	"RATIO"	"Ratio"	"0"	"Units"			203.9		
"AT002"	"Graz"	"POP_DENS"	"Population density (persons per km2)"	"2014"	"2014"	"RATIO"	"Ratio"	"0"	"Units"			205.96		
"AT002"	"Graz"	"GDP_PC"	"GDP per capita (US$)"	"2000"	"2000"	"USD"	"US Dollar"	"0"	"Units"	"2010"	"2010"	38661.86		
"AT002"	"Graz"	"GDP_PC"	"GDP per capita (US$)"	"2001"	"2001"	"USD"	"US Dollar"	"0"	"Units"	"2010"	"2010"	38761.08		
"AT002"	"Graz"	"GDP_PC"	"GDP per capita (US$)"	"2002"	"2002"	"USD"	"US Dollar"	"0"	"Units"	"2010"	"2010"	38799.5		
"AT002"	"Graz"	"GDP_PC"	"GDP per capita (US$)"	"2003"	"2003"	"USD"	"US Dollar"	"0"	"Units"	"2010"	"2010"	39570.09		
"AT002"	"Graz"	"GDP_PC"	"GDP per capita (US$)"	"2004"	"2004"	"USD"	"US Dollar"	"0"	"Units"	"2010"	"2010"	40950.39		
"AT002"	"Graz"	"GDP_PC"	"GDP per capita (US$)"	"2005"	"2005"	"USD"	"US Dollar"	"0"	"Units"	"2010"	"2010"	41570.98		
"AT002"	"Graz"	"GDP_PC"	"GDP per capita (US$)"	"2006"	"2006"	"USD"	"US Dollar"	"0"	"Units"	"2010"	"2010"	41980.19		
"AT002"	"Graz"	"GDP_PC"	"GDP per capita (US$)"	"2007"	"2007"	"USD"	"US Dollar"	"0"	"Units"	"2010"	"2010"	43244.35		
"AT002"	"Graz"	"GDP_PC"	"GDP per capita (US$)"	"2008"	"2008"	"USD"	"US Dollar"	"0"	"Units"	"2010"	"2010"	43354.61		
"AT002"	"Graz"	"GDP_PC"	"GDP per capita (US$)"	"2009"	"2009"	"USD"	"US Dollar"	"0"	"Units"	"2010"	"2010"	41335.01		
"AT002"	"Graz"	"GDP_PC"	"GDP per capita (US$)"	"2010"	"2010"	"USD"	"US Dollar"	"0"	"Units"	"2010"	"2010"	41510.68		
"AT002"	"Graz"	"GDP_PC"	"GDP per capita (US$)"	"2011"	"2011"	"USD"	"US Dollar"	"0"	"Units"	"2010"	"2010"	42869.18		
"AT002"	"Graz"	"GDP_PC"	"GDP per capita (US$)"	"2012"	"2012"	"USD"	"US Dollar"	"0"	"Units"	"2010"	"2010"	43102.13		
"AT002"	"Graz"	"CO2_PC"	"CO2 emissions per capita  (tonnes per inhabitant)"	"2000"	"2000"	"TONNE"	"Tonnes"	"0"	"Units"			10.23		
"AT002"	"Graz"	"CO2_PC"	"CO2 emissions per capita  (tonnes per inhabitant)"	"2005"	"2005"	"TONNE"	"Tonnes"	"0"	"Units"			11.99		
"AT002"	"Graz"	"CO2_PC"	"CO2 emissions per capita  (tonnes per inhabitant)"	"2008"	"2008"	"TONNE"	"Tonnes"	"0"	"Units"			10.69		
"AT002"	"Graz"	"UNEMP_R"	"Unemployment as a share of the labour force (%)"	"2000"	"2000"	"PC"	"Percentage"	"0"	"Units"			3.06		
"AT002"	"Graz"	"UNEMP_R"	"Unemployment as a share of the labour force (%)"	"2001"	"2001"	"PC"	"Percentage"	"0"	"Units"			3.56		
"AT002"	"Graz"	"UNEMP_R"	"Unemployment as a share of the labour force (%)"	"2002"	"2002"	"PC"	"Percentage"	"0"	"Units"			3.61		
"AT002"	"Graz"	"UNEMP_R"	"Unemployment as a share of the labour force (%)"	"2003"	"2003"	"PC"	"Percentage"	"0"	"Units"			4.05		
"AT002"	"Graz"	"UNEMP_R"	"Unemployment as a share of the labour force (%)"	"2004"	"2004"	"PC"	"Percentage"	"0"	"Units"			3.75		
"AT002"	"Graz"	"UNEMP_R"	"Unemployment as a share of the labour force (%)"	"2005"	"2005"	"PC"	"Percentage"	"0"	"Units"			4.2		
"AT002"	"Graz"	"UNEMP_R"	"Unemployment as a share of the labour force (%)"	"2006"	"2006"	"PC"	"Percentage"	"0"	"Units"			4.07		
"AT002"	"Graz"	"UNEMP_R"	"Unemployment as a share of the labour force (%)"	"2007"	"2007"	"PC"	"Percentage"	"0"	"Units"			3.99		
"AT002"	"Graz"	"UNEMP_R"	"Unemployment as a share of the labour force (%)"	"2008"	"2008"	"PC"	"Percentage"	"0"	"Units"			3.68		
"AT002"	"Graz"	"UNEMP_R"	"Unemployment as a share of the labour force (%)"	"2009"	"2009"	"PC"	"Percentage"	"0"	"Units"			4.85		
"AT002"	"Graz"	"UNEMP_R"	"Unemployment as a share of the labour force (%)"	"2010"	"2010"	"PC"	"Percentage"	"0"	"Units"			4.49		
"AT002"	"Graz"	"UNEMP_R"	"Unemployment as a share of the labour force (%)"	"2011"	"2011"	"PC"	"Percentage"	"0"	"Units"			3.7		
"AT002"	"Graz"	"UNEMP_R"	"Unemployment as a share of the labour force (%)"	"2012"	"2012"	"PC"	"Percentage"	"0"	"Units"			3.7		
"AT002"	"Graz"	"UNEMP_R"	"Unemployment as a share of the labour force (%)"	"2013"	"2013"	"PC"	"Percentage"	"0"	"Units"			4.55		
"AT002"	"Graz"	"PCT_INTENSITY"	"PCT patents applications per 10,000 inhabitants"	"2000"	"2000"	"RATIO"	"Ratio"	"0"	"Units"			1.53		
"AT002"	"Graz"	"PCT_INTENSITY"	"PCT patents applications per 10,000 inhabitants"	"2001"	"2001"	"RATIO"	"Ratio"	"0"	"Units"			1.6		
"AT002"	"Graz"	"PCT_INTENSITY"	"PCT patents applications per 10,000 inhabitants"	"2002"	"2002"	"RATIO"	"Ratio"	"0"	"Units"			2.06		
"AT002"	"Graz"	"PCT_INTENSITY"	"PCT patents applications per 10,000 inhabitants"	"2003"	"2003"	"RATIO"	"Ratio"	"0"	"Units"			2.39		
"AT002"	"Graz"	"PCT_INTENSITY"	"PCT patents applications per 10,000 inhabitants"	"2004"	"2004"	"RATIO"	"Ratio"	"0"	"Units"			2.67		
"AT002"	"Graz"	"PCT_INTENSITY"	"PCT patents applications per 10,000 inhabitants"	"2005"	"2005"	"RATIO"	"Ratio"	"0"	"Units"			2.6		
"AT002"	"Graz"	"PCT_INTENSITY"	"PCT patents applications per 10,000 inhabitants"	"2006"	"2006"	"RATIO"	"Ratio"	"0"	"Units"			3.05		
"AT002"	"Graz"	"PCT_INTENSITY"	"PCT patents applications per 10,000 inhabitants"	"2007"	"2007"	"RATIO"	"Ratio"	"0"	"Units"			2.53		
"AT002"	"Graz"	"PCT_INTENSITY"	"PCT patents applications per 10,000 inhabitants"	"2008"	"2008"	"RATIO"	"Ratio"	"0"	"Units"			2.61		
"AT003"	"Linz"	"POP_DENS"	"Population density (persons per km2)"	"2000"	"2000"	"RATIO"	"Ratio"	"0"	"Units"			165.29		
"AT003"	"Linz"	"POP_DENS"	"Population density (persons per km2)"	"2001"	"2001"	"RATIO"	"Ratio"	"0"	"Units"			165.94		
"AT003"	"Linz"	"POP_DENS"	"Population density (persons per km2)"	"2002"	"2002"	"RATIO"	"Ratio"	"0"	"Units"			166.6		
"AT003"	"Linz"	"POP_DENS"	"Population density (persons per km2)"	"2003"	"2003"	"RATIO"	"Ratio"	"0"	"Units"			167.27		
"AT003"	"Linz"	"POP_DENS"	"Population density (persons per km2)"	"2004"	"2004"	"RATIO"	"Ratio"	"0"	"Units"			167.94		
"AT003"	"Linz"	"POP_DENS"	"Population density (persons per km2)"	"2005"	"2005"	"RATIO"	"Ratio"	"0"	"Units"			168.62		
"AT003"	"Linz"	"POP_DENS"	"Population density (persons per km2)"	"2006"	"2006"	"RATIO"	"Ratio"	"0"	"Units"			169.31		
"AT003"	"Linz"	"POP_DENS"	"Population density (persons per km2)"	"2007"	"2007"	"RATIO"	"Ratio"	"0"	"Units"			170		
"AT003"	"Linz"	"POP_DENS"	"Population density (persons per km2)"	"2008"	"2008"	"RATIO"	"Ratio"	"0"	"Units"			170.7		
"AT003"	"Linz"	"POP_DENS"	"Population density (persons per km2)"	"2009"	"2009"	"RATIO"	"Ratio"	"0"	"Units"			171.41		
"AT003"	"Linz"	"POP_DENS"	"Population density (persons per km2)"	"2010"	"2010"	"RATIO"	"Ratio"	"0"	"Units"			172.12		
"AT003"	"Linz"	"POP_DENS"	"Population density (persons per km2)"	"2011"	"2011"	"RATIO"	"Ratio"	"0"	"Units"			172.84		
"AT003"	"Linz"	"POP_DENS"	"Population density (persons per km2)"	"2012"	"2012"	"RATIO"	"Ratio"	"0"	"Units"			173.57		
"AT003"	"Linz"	"POP_DENS"	"Population density (persons per km2)"	"2013"	"2013"	"RATIO"	"Ratio"	"0"	"Units"			174.31		
"AT003"	"Linz"	"POP_DENS"	"Population density (persons per km2)"	"2014"	"2014"	"RATIO"	"Ratio"	"0"	"Units"			175.05		
"AT003"	"Linz"	"GDP_PC"	"GDP per capita (US$)"	"2000"	"2000"	"USD"	"US Dollar"	"0"	"Units"	"2010"	"2010"	39992.44		
"AT003"	"Linz"	"GDP_PC"	"GDP per capita (US$)"	"2001"	"2001"	"USD"	"US Dollar"	"0"	"Units"	"2010"	"2010"	40643.35		
"AT003"	"Linz"	"GDP_PC"	"GDP per capita (US$)"	"2002"	"2002"	"USD"	"US Dollar"	"0"	"Units"	"2010"	"2010"	40622.54		
"AT003"	"Linz"	"GDP_PC"	"GDP per capita (US$)"	"2003"	"2003"	"USD"	"US Dollar"	"0"	"Units"	"2010"	"2010"	41384.92		
"AT003"	"Linz"	"GDP_PC"	"GDP per capita (US$)"	"2004"	"2004"	"USD"	"US Dollar"	"0"	"Units"	"2010"	"2010"	41888.29		
"AT003"	"Linz"	"GDP_PC"	"GDP per capita (US$)"	"2005"	"2005"	"USD"	"US Dollar"	"0"	"Units"	"2010"	"2010"	42740		
"AT003"	"Linz"	"GDP_PC"	"GDP per capita (US$)"	"2006"	"2006"	"USD"	"US Dollar"	"0"	"Units"	"2010"	"2010"	43940.66		
"AT003"	"Linz"	"GDP_PC"	"GDP per capita (US$)"	"2007"	"2007"	"USD"	"US Dollar"	"0"	"Units"	"2010"	"2010"	45163.52		
"AT003"	"Linz"	"GDP_PC"	"GDP per capita (US$)"	"2008"	"2008"	"USD"	"US Dollar"	"0"	"Units"	"2010"	"2010"	46865.63		
"AT003"	"Linz"	"GDP_PC"	"GDP per capita (US$)"	"2009"	"2009"	"USD"	"US Dollar"	"0"	"Units"	"2010"	"2010"	44506.17		
"AT003"	"Linz"	"GDP_PC"	"GDP per capita (US$)"	"2010"	"2010"	"USD"	"US Dollar"	"0"	"Units"	"2010"	"2010"	45117.43		
"AT003"	"Linz"	"GDP_PC"	"GDP per capita (US$)"	"2011"	"2011"	"USD"	"US Dollar"	"0"	"Units"	"2010"	"2010"	46271.57		
"AT003"	"Linz"	"GDP_PC"	"GDP per capita (US$)"	"2012"	"2012"	"USD"	"US Dollar"	"0"	"Units"	"2010"	"2010"	46469.25		
"AT003"	"Linz"	"CO2_PC"	"CO2 emissions per capita  (tonnes per inhabitant)"	"2000"	"2000"	"TONNE"	"Tonnes"	"0"	"Units"			14.25		
"AT003"	"Linz"	"CO2_PC"	"CO2 emissions per capita  (tonnes per inhabitant)"	"2005"	"2005"	"TONNE"	"Tonnes"	"0"	"Units"			16.49		
"AT003"	"Linz"	"CO2_PC"	"CO2 emissions per capita  (tonnes per inhabitant)"	"2008"	"2008"	"TONNE"	"Tonnes"	"0"	"Units"			17.58		
"AT003"	"Linz"	"UNEMP_R"	"Unemployment as a share of the labour force (%)"	"2000"	"2000"	"PC"	"Percentage"	"0"	"Units"			3.1		
"AT003"	"Linz"	"UNEMP_R"	"Unemployment as a share of the labour force (%)"	"2001"	"2001"	"PC"	"Percentage"	"0"	"Units"			2.74		
"AT003"	"Linz"	"UNEMP_R"	"Unemployment as a share of the labour force (%)"	"2002"	"2002"	"PC"	"Percentage"	"0"	"Units"			3		
"AT003"	"Linz"	"UNEMP_R"	"Unemployment as a share of the labour force (%)"	"2003"	"2003"	"PC"	"Percentage"	"0"	"Units"			3.12		
"AT003"	"Linz"	"UNEMP_R"	"Unemployment as a share of the labour force (%)"	"2004"	"2004"	"PC"	"Percentage"	"0"	"Units"			3.54		
"AT003"	"Linz"	"UNEMP_R"	"Unemployment as a share of the labour force (%)"	"2005"	"2005"	"PC"	"Percentage"	"0"	"Units"			3.79		
"AT003"	"Linz"	"UNEMP_R"	"Unemployment as a share of the labour force (%)"	"2006"	"2006"	"PC"	"Percentage"	"0"	"Units"			2.98		
"AT003"	"Linz"	"UNEMP_R"	"Unemployment as a share of the labour force (%)"	"2007"	"2007"	"PC"	"Percentage"	"0"	"Units"			3.07		
"AT003"	"Linz"	"UNEMP_R"	"Unemployment as a share of the labour force (%)"	"2008"	"2008"	"PC"	"Percentage"	"0"	"Units"			2.46		
"AT003"	"Linz"	"UNEMP_R"	"Unemployment as a share of the labour force (%)"	"2009"	"2009"	"PC"	"Percentage"	"0"	"Units"			3.6		
"AT003"	"Linz"	"UNEMP_R"	"Unemployment as a share of the labour force (%)"	"2010"	"2010"	"PC"	"Percentage"	"0"	"Units"			4.05		
"AT003"	"Linz"	"UNEMP_R"	"Unemployment as a share of the labour force (%)"	"2011"	"2011"	"PC"	"Percentage"	"0"	"Units"			3.06		
"AT003"	"Linz"	"UNEMP_R"	"Unemployment as a share of the labour force (%)"	"2012"	"2012"	"PC"	"Percentage"	"0"	"Units"			3.12		
"AT003"	"Linz"	"UNEMP_R"	"Unemployment as a share of the labour force (%)"	"2013"	"2013"	"PC"	"Percentage"	"0"	"Units"			4.41		
"AT003"	"Linz"	"PCT_INTENSITY"	"PCT patents applications per 10,000 inhabitants"	"2000"	"2000"	"RATIO"	"Ratio"	"0"	"Units"			1.04		
"AT003"	"Linz"	"PCT_INTENSITY"	"PCT patents applications per 10,000 inhabitants"	"2001"	"2001"	"RATIO"	"Ratio"	"0"	"Units"			1.18		
"AT003"	"Linz"	"PCT_INTENSITY"	"PCT patents applications per 10,000 inhabitants"	"2002"	"2002"	"RATIO"	"Ratio"	"0"	"Units"			1.34		
"AT003"	"Linz"	"PCT_INTENSITY"	"PCT patents applications per 10,000 inhabitants"	"2003"	"2003"	"RATIO"	"Ratio"	"0"	"Units"			1.43		
"AT003"	"Linz"	"PCT_INTENSITY"	"PCT patents applications per 10,000 inhabitants"	"2004"	"2004"	"RATIO"	"Ratio"	"0"	"Units"			1.36		
"AT003"	"Linz"	"PCT_INTENSITY"	"PCT patents applications per 10,000 inhabitants"	"2005"	"2005"	"RATIO"	"Ratio"	"0"	"Units"			1.71		
"AT003"	"Linz"	"PCT_INTENSITY"	"PCT patents applications per 10,000 inhabitants"	"2006"	"2006"	"RATIO"	"Ratio"	"0"	"Units"			1.67		
"AT003"	"Linz"	"PCT_INTENSITY"	"PCT patents applications per 10,000 inhabitants"	"2007"	"2007"	"RATIO"	"Ratio"	"0"	"Units"			1.98		
"AT003"	"Linz"	"PCT_INTENSITY"	"PCT patents applications per 10,000 inhabitants"	"2008"	"2008"	"RATIO"	"Ratio"	"0"	"Units"			2.04		
"BE001"	"Brussels"	"POP_DENS"	"Population density (persons per km2)"	"2000"	"2000"	"RATIO"	"Ratio"	"0"	"Units"			689.41		
"BE001"	"Brussels"	"POP_DENS"	"Population density (persons per km2)"	"2001"	"2001"	"RATIO"	"Ratio"	"0"	"Units"			696.17		
"BE001"	"Brussels"	"POP_DENS"	"Population density (persons per km2)"	"2002"	"2002"	"RATIO"	"Ratio"	"0"	"Units"			703.01		
"BE001"	"Brussels"	"POP_DENS"	"Population density (persons per km2)"	"2003"	"2003"	"RATIO"	"Ratio"	"0"	"Units"			709.94		
"BE001"	"Brussels"	"POP_DENS"	"Population density (persons per km2)"	"2004"	"2004"	"RATIO"	"Ratio"	"0"	"Units"			716.96		
"BE001"	"Brussels"	"POP_DENS"	"Population density (persons per km2)"	"2005"	"2005"	"RATIO"	"Ratio"	"0"	"Units"			724.08		
"BE001"	"Brussels"	"POP_DENS"	"Population density (persons per km2)"	"2006"	"2006"	"RATIO"	"Ratio"	"0"	"Units"			731.28		
"BE001"	"Brussels"	"POP_DENS"	"Population density (persons per km2)"	"2007"	"2007"	"RATIO"	"Ratio"	"0"	"Units"			738.59		
"BE001"	"Brussels"	"POP_DENS"	"Population density (persons per km2)"	"2008"	"2008"	"RATIO"	"Ratio"	"0"	"Units"			745.99		
"BE001"	"Brussels"	"POP_DENS"	"Population density (persons per km2)"	"2009"	"2009"	"RATIO"	"Ratio"	"0"	"Units"			753.49		
"BE001"	"Brussels"	"POP_DENS"	"Population density (persons per km2)"	"2010"	"2010"	"RATIO"	"Ratio"	"0"	"Units"			761.09		
"BE001"	"Brussels"	"POP_DENS"	"Population density (persons per km2)"	"2011"	"2011"	"RATIO"	"Ratio"	"0"	"Units"			768.79		
"BE001"	"Brussels"	"POP_DENS"	"Population density (persons per km2)"	"2012"	"2012"	"RATIO"	"Ratio"	"0"	"Units"			776.59		
