Company_name	Company_ID	Big3Share	Position	Revenue	Assets	Employees	MarketCap	Exchange	TypeEnt
FULL HOUSE RESORTS, INC.	US133391527	2.9699999999999998	5	124588.0	142770.0	1356.0	30920.0	NASDAQ National Market	Industrial company
BORGWARNER INC	US133404508	18.69	1	8023200.0	8825700.0	30000.0	7312006.0	New York Stock Exchange (NYSE)	Industrial company
COGENTIX MEDICAL, INC.	US133430173	0.46	16	36622.0	49007.0	181.0	20762.0	NASDAQ National Market	Industrial company
PHILIP MORRIS INTERNATIONAL INC.	US133435103	15.370000000000001	1	26794000.0	33956000.0	80200.0	153854396.0	New York Stock Exchange (NYSE)	Industrial company
REGENERON PHARMACEUTICALS INC	US133444607	12.5	3	4103728.0	5609132.0	4300.0	40876217.0	NASDAQ National Market	Industrial company
IEC ELECTRONICS CORP	US133458955	2.21	7	126999.0	68262.0	798.0	46783.0	NYSE MKT	Industrial company
INNODATA INC.	US133475943	2.59	6	58523.0	51237.0	5090.0	58524.0	NASDAQ National Market	Industrial company
TIME INC.	US133486363	19.369999999999997	1	3103000.0	4884000.0	7200.0	1567247.0	New York Stock Exchange (NYSE)	Industrial company
DENNY'S CORPORATION	US133487402	14.32	1	491293.0	297037.0	8500.0	842541.0	NASDAQ National Market	Industrial company
WISDOMTREE INVESTMENTS, INC.	US133487784	17.1	1	298942.0	292693.0	177.0	1685602.0	NASDAQ National Market	Financial company
FOOT LOCKER INC.	US133513936	19.09	1	7412000.0	3775000.0	47025.0	7492001.0	New York Stock Exchange (NYSE)	Industrial company
SEACOR HOLDINGS INC.	US133542736	19.580000000000002	1	1054736.0	3185419.0	4849.0	989760.0	New York Stock Exchange (NYSE)	Industrial company
MILESTONE SCIENTIFIC INC	US133545623	0	115	9492.0	12809.0	15.0	58230.0	NYSE MKT	Industrial company
MADDEN STEVEN LTD	US133588231	17.22	1	1405239.0	914385.0	3578.0	2098683.0	NASDAQ National Market	Industrial company
MANNKIND CORPORATION	US133607736	7.7	4	0.0	126412.0	192.0	416716.0	NASDAQ National Market	Industrial company
AMBAC FINANCIAL GROUP INC	US133621676	11.44	1	-37572.0	23728070.0	nan	741474.0	NASDAQ National Market	Insurance company
AETHLON MEDICAL, INC.	US133632859	0.72	10	762.0	1381.0	5.0	38493.0	NASDAQ National Market	Industrial company
GULF RESOURCES, INC.	US133637458	0.5	7	162317.0	356743.0	738.0	69011.0	NASDAQ National Market	Industrial company
HUDSON TECHNOLOGIES INC	US133641539	0.32	28	79722.0	85011.0	136.0	112094.0	NASDAQ National Market	Industrial company
ALEXION PHARMACEUTICALS INC	US133648318	16.63	1	2604047.0	13097881.0	2924.0	33697113.0	NASDAQ National Market	Industrial company
REVLON, INC.	US133662955	3.33	4	1914300.0	1967300.0	nan	1665454.0	New York Stock Exchange (NYSE)	Industrial company
WATERS CORP	US133668640	18.89	1	2042332.0	4268677.0	6600.0	11125407.0	New York Stock Exchange (NYSE)	Industrial company
METTLER TOLEDO INTERNATIONAL INC	US133668641	18.9	1	2395447.0	2016639.0	nan	9943950.0	New York Stock Exchange (NYSE)	Industrial company
EQUITY RESIDENTIAL	US133675988	28.130000000000003	1	2744965.0	23110196.0	3500.0	25117307.0	New York Stock Exchange (NYSE)	Financial company
OXIGENE INC	US133679168	3.25	5	0.0	27453.0	nan	17520.0	NASDAQ National Market	Industrial company
BLUEBIRD BIO INC	US133680878	13.620000000000001	3	14079.0	1002337.0	254.0	1631036.0	NASDAQ National Market	Industrial company
FORMFACTOR, INC.	US133711155	14.39	1	282358.0	342723.0	958.0	437722.0	NASDAQ National Market	Industrial company
MEDIFAST, INC.	US133714405	15.69	1	272773.0	117326.0	425.0	388280.0	New York Stock Exchange (NYSE)	Industrial company
EMPIRE RESORTS, INC.	US133714474	0.69	3	68166.0	65418.0	277.0	583997.0	NASDAQ National Market	Industrial company
LEXINGTON REALTY TRUST	US133717318	26.790000000000003	1	430839.0	3808403.0	54.0	2223296.0	New York Stock Exchange (NYSE)	Financial company
FAIRPOINT COMMUNICATIONS, INC.	US133725229	12.43	2	859465.0	1322526.0	2700.0	367554.0	NASDAQ National Market	Industrial company
STEEL PARTNERS HOLDINGS L.P.	US133727655	0	115	998037.0	1684773.0	69.0	378184.0	New York Stock Exchange (NYSE)	Industrial company
COGNIZANT TECHNOLOGY SOLUTIONS CORP	US133728359	15.7	1	12416000.0	13061000.0	221700.0	37842611.0	NASDAQ National Market	Industrial company
LABORATORY CORP OF AMERICA HOLDINGS	US133757370	20.880000000000003	1	8680100.0	14103400.0	50000.0	13108223.0	New York Stock Exchange (NYSE)	Industrial company
HANDY & HARMAN LTD.	US133768097	2.0599999999999996	5	649468.0	624673.0	2125.0	307331.0	NASDAQ National Market	Industrial company
IHS INC.	US133769440	13.360000000000001	1	2184335.0	5601081.0	8600.0	8270390.0	New York Stock Exchange (NYSE)	Industrial company
SYNTHETIC BIOLOGICS, INC.	US133808303	4.15	6	0.0	30845.0	27.0	192553.0	NYSE MKT	Industrial company
KRATOS DEFENSE & SECURITY SOLUTIONS, INC.	US133818604	8.86	4	657100.0	903300.0	2900.0	250615.0	NASDAQ National Market	Industrial company
COTY INC.	US133823358	2.4000000000000004	4	4395200.0	6018900.0	8100.0	2022669.0	New York Stock Exchange (NYSE)	Industrial company
SPANISH BROADCASTING SYSTEM, INC.	US133827791	3.16	5	146899.0	451744.0	nan	14751.0	NASDAQ National Market	Industrial company
ACORDA THERAPEUTICS, INC.	US133831168	20.25	1	492660.0	1111294.0	535.0	1257176.0	NASDAQ National Market	Industrial company
SOUTHERN COPPER CORPORATION	US133849074	3.45	3	5045900.0	11526742.0	nan	20588346.0	New York Stock Exchange (NYSE)	Industrial company
LIVEPERSON INC	US133861628	17.91	1	239012.0	226194.0	1006.0	385933.0	NASDAQ National Market	Industrial company
MEDIVATION, INC.	US133863260	15.620000000000001	1	943258.0	1431591.0	628.0	9981200.0	NASDAQ National Market	Industrial company
KNOLL, INC.	US133873847	16.04	1	1104442.0	856085.0	3386.0	1214267.0	New York Stock Exchange (NYSE)	Industrial company
KINGOLD JEWELRY, INC.	US133883101	0	104	1000161.0	469616.0	568.0	104222.0	NASDAQ National Market	Industrial company
COMMUNITY HEALTH SYSTEMS INC	US133893191	19.709999999999997	1	19437000.0	26861000.0	165000.0	1487905.0	New York Stock Exchange (NYSE)	Industrial company
XO GROUP INC.	US133895178	17.84	1	141644.0	196741.0	660.0	443853.0	New York Stock Exchange (NYSE)	Industrial company
CARVER BANCORP, INC	US133904174	0	108	23953.0	676386.0	129.0	12567.0	NASDAQ National Market	Bank
MONSTER WORLDWIDE INC.	US133906555	20.45	1	666903.0	1154932.0	nan	241013.0	New York Stock Exchange (NYSE)	Industrial company
CARTER'S, INC.	US133912933	16.61	1	3013879.0	2003654.0	16800.0	5177115.0	New York Stock Exchange (NYSE)	Industrial company
B&G FOODS, INC.	US133918742	18.25	1	966358.0	2543620.0	2003.0	2692278.0	New York Stock Exchange (NYSE)	Industrial company
REIS, INC.	US133926898	5.49	7	50890.0	133199.0	272.0	263670.0	NASDAQ National Market	Industrial company
SUCAMPO PHARMACEUTICALS, INC.	US133929237	13.340000000000002	3	153180.0	457181.0	159.0	568698.0	NASDAQ National Market	Industrial company
L-3 COMMUNICATIONS HOLDINGS, INC.	US133937434	18.89	1	10466000.0	12067000.0	38000.0	10611013.0	New York Stock Exchange (NYSE)	Industrial company
WALTER INVESTMENT MANAGEMENT CORP	US133950486	14.709999999999999	4	1274259.0	18591501.0	5900.0	177635.0	New York Stock Exchange (NYSE)	Financial company
YUM! BRANDS, INC.	US133951308	15.61	1	13105000.0	8061000.0	505000.0	33650532.0	New York Stock Exchange (NYSE)	Industrial company
SL GREEN REALTY CORP	US133956775	29.510000000000005	1	1662829.0	19727646.0	1177.0	10081809.0	New York Stock Exchange (NYSE)	Financial company
CONSOLIDATED EDISON, INC.	US133965100	20.310000000000002	1	12554000.0	45642000.0	14806.0	21388497.0	New York Stock Exchange (NYSE)	Industrial company
MFA FINANCIAL INC	US133974868	12.280000000000001	1	543308.0	13162551.0	50.0	2668012.0	New York Stock Exchange (NYSE)	Financial company
STRATA SKIN SCIENCES, INC.	US133986004	3.49	4	18495.0	51372.0	106.0	7517.0	NASDAQ National Market	Industrial company
SIX FLAGS ENTERTAINMENT CORPORATION	US133995059	9.96	2	1263938.0	2428440.0	1900.0	5362376.0	New York Stock Exchange (NYSE)	Industrial company
MOODY'S CORPORATION	US133998945	17.43	1	3484500.0	5103000.0	nan	19183240.0	New York Stock Exchange (NYSE)	Industrial company
GAMCO INVESTORS, INC.	US134007862	1.4300000000000002	4	380976.0	104027.0	168.0	387065.0	New York Stock Exchange (NYSE)	Financial company
GOLDMAN SACHS GROUP, INC	US134019460	16.5	1	31244000.0	861395000.0	36800.0	66267810.0	New York Stock Exchange (NYSE)	Bank
MSCI INC.	US134038723	16.61	1	1075013.0	3146987.0	2754.0	7654514.0	New York Stock Exchange (NYSE)	Financial company
BGC PARTNERS INC	US134063515	9.430000000000001	3	3000000.0	nan	7500.0	2193802.0	NASDAQ National Market	Bank
CROSS COUNTRY HEALTHCARE INC	US134066229	16.48	1	767421.0	365595.0	1585.0	443419.0	NASDAQ National Market	Industrial company
CORNERSTONE ONDEMAND, INC.	US134068197	13.04	1	339651.0	558267.0	nan	2173918.0	NASDAQ National Market	Industrial company
METLIFE INC	US134075851	15.120000000000001	2	75000000.0	nan	62500.0	50285975.0	New York Stock Exchange (NYSE)	Insurance company
ALJ REGIONAL HOLDINGS INC	US134082185	0	101	112500.0	nan	3500.0	145056.0	NASDAQ National Market	Industrial company
PLANET PAYMENT, INC.	US134084693	3.5999999999999996	12	52815.0	44507.0	175.0	212449.0	NASDAQ National Market	Industrial company
KERYX BIOPHARMACEUTICALS, INC.	US134087132	14.759999999999998	2	13680.0	258685.0	184.0	620111.0	NASDAQ National Market	Industrial company
TIME WARNER INC.	US134099534	15.43	1	28118000.0	63848000.0	24800.0	59199764.0	New York Stock Exchange (NYSE)	Industrial company
SITO MOBILE, LTD.	US134122844	1.19	7	15809.0	18599.0	49.0	51546.0	NASDAQ National Market	Industrial company
ATLAS AIR WORLDWIDE HOLDINGS, INC.	US134146982	18.95	1	1822659.0	4164403.0	1998.0	1094662.0	NASDAQ National Market	Industrial company
MGT CAPITAL INVESTMENTS, INC.	US134148725	0	113	104.0	6119.0	nan	55927.0	NYSE MKT	Industrial company
SIGNATURE BANK	US134149421	19.18	1	1019259.0	33450545.0	1122.0	4047352.0	NASDAQ National Market	Bank
ZIMMER BIOMET HOLDINGS, INC.	US134151777	14.250000000000002	1	5997800.0	27219500.0	17500.0	24520330.0	New York Stock Exchange (NYSE)	Industrial company
MASTERCARD INC.	US134172551	14.38	1	9667000.0	16250000.0	11300.0	104790647.0	New York Stock Exchange (NYSE)	Financial company
SAFETY INSURANCE GROUP INC	US134181699	18.33	1	814052.0	1703869.0	nan	898586.0	NASDAQ National Market	Insurance company
MOLINA HEALTHCARE INC	US134204626	15.84	2	nan	6576000.0	nan	2747719.0	New York Stock Exchange (NYSE)	Insurance company
INDEPENDENT BANK GROUP, INC.	US134219346	4.8	3	170204.0	5055027.0	600.0	705394.0	NASDAQ National Market	Bank
DOUGLAS DYNAMICS, INC.	US134275891	11.079999999999998	2	400408.0	503166.0	nan	489186.0	New York Stock Exchange (NYSE)	Industrial company
SYNUTRA INTERNATIONAL, INC.	US134306188	2.3	3	413941.0	664885.0	2700.0	235873.0	NASDAQ National Market	Industrial company
HESS CORPORATION	US134921002	14.079999999999998	1	6510000.0	34157000.0	2770.0	19076008.0	New York Stock Exchange (NYSE)	Industrial company
AMERICAN EXPRESS COMPANY	US134922250	13.620000000000001	2	32846000.0	161172000.0	54827.0	62311686.0	New York Stock Exchange (NYSE)	Bank
AMERICAN ELECTRIC POWER COMPANY INC	US134922640	17.96	1	16453200.0	61683100.0	17405.0	31596362.0	New York Stock Exchange (NYSE)	Industrial company
CHURCH & DWIGHT CO INC	US134996950	21.23	1	3394800.0	4256900.0	4400.0	12598163.0	New York Stock Exchange (NYSE)	Industrial company
ITT CORPORATION	US135158950	16.700000000000003	1	2485600.0	3723600.0	9700.0	3096737.0	New York Stock Exchange (NYSE)	Industrial company
NL INDUSTRIES INC	US135267260	1.86	4	108994.0	349323.0	2280.0	152893.0	New York Stock Exchange (NYSE)	Industrial company
PFIZER INC	US135315170	17.74	1	48851000.0	167381000.0	97900.0	209904440.0	New York Stock Exchange (NYSE)	Industrial company
EXXON MOBIL CORP	US135409005	16.73	1	259488000.0	336758000.0	73500.0	373236497.0	New York Stock Exchange (NYSE)	Industrial company
JOHN WILEY & SONS, INC.	US135593032	17.0	3	1822440.0	3004243.0	4900.0	2579795.0	New York Stock Exchange (NYSE)	Industrial company
VOLT INFORMATION SCIENCES INC	US135658129	3.7	7	1496897.0	326826.0	27400.0	132274.0	NYSE MKT	Industrial company
RAMCO GERSHENSON PROPERTIES TRUST	US136908486	26.439999999999998	1	251790.0	2128671.0	120.0	1428557.0	New York Stock Exchange (NYSE)	Financial company
BP PRUDHOE BAY ROYALTY TRUST	US136943724	0	122	126781.0	1002.0	nan	300456.0	New York Stock Exchange (NYSE)	Industrial company
ALBANY INTERNATIONAL CORP	US140462060	18.42	3	709868.0	1009562.0	3900.0	1135134.0	New York Stock Exchange (NYSE)	Industrial company
GENERAL ELECTRIC COMPANY	US140689340	15.530000000000001	1	117385000.0	493072000.0	333000.0	276973197.0	New York Stock Exchange (NYSE)	Industrial company
ESPEY MANUFACTURING & ELECTRONICS CORP	US141387171	1.37	12	26832.0	34344.0	nan	59814.0	NYSE MKT	Industrial company
TRANS WORLD ENTERTAINMENT CORP	US141541629	1.97	5	334661.0	271605.0	2900.0	123057.0	NASDAQ National Market	Industrial company
COMMAND SECURITY CORP	US141626307	0.11	15	139185.0	36587.0	nan	24287.0	NYSE MKT	Industrial company
TRUSTCO BANK CORPORATION NEW YORK	US141630287	15.950000000000001	1	175000.0	nan	750.0	632180.0	NASDAQ National Market	Bank
AMETEK INC	US141682544	18.2	1	3974295.0	6660450.0	15400.0	11164004.0	New York Stock Exchange (NYSE)	Industrial company
ALBANY MOLECULAR RESEARCH INC	US141742717	12.69	1	402356.0	865567.0	2220.0	514125.0	NASDAQ National Market	Industrial company
AVANGRID, INC.	US141798693	1.68	4	4367000.0	30743000.0	6809.0	12889346.0	New York Stock Exchange (NYSE)	Industrial company
GREENE COUNTY BANCORP, INC	US141809721	0	105	3903.0	38056.0	nan	151861.0	NASDAQ National Market	Bank
HANSEN MEDICAL, INC.	US141850535	2.21	11	16068.0	45718.0	130.0	75579.0	NASDAQ National Market	Industrial company
MAXLINEAR, INC.	US141896129	9.91	2	300360.0	334505.0	500.0	1142786.0	New York Stock Exchange (NYSE)	Industrial company
EMERGENT BIOSOLUTIONS INC.	US141902018	17.0	1	522789.0	1037484.0	1292.0	1750656.0	New York Stock Exchange (NYSE)	Industrial company
COHEN & STEERS, INC.	US141904657	6.46	4	328655.0	305322.0	275.0	1777777.0	New York Stock Exchange (NYSE)	Financial company
WILLDAN GROUP, INC.	US141951112	2.43	9	135103.0	72345.0	688.0	82241.0	NASDAQ National Market	Industrial company
ONE GROUP HOSPITALITY, INC. (THE)	US141961545	0	113	60532.0	56046.0	1600.0	58725.0	NASDAQ National Market	Industrial company
FIRST NBC BANK HOLDING CO	US141985604	13.870000000000001	1	112500.0	nan	375.0	358296.0	NASDAQ National Market	Bank
IDEAL POWER INC.	US141999058	0	118	4260.0	19250.0	nan	41481.0	NASDAQ National Market	Industrial company
PACIFIC INTERNATIONAL ENTERPRISES I	US143071803L	0	100	250.0	nan	1.0	0.0	New York Stock Exchange (NYSE)	Industrial company
LEGACYTEXAS FINANCIAL GROUP INC	US149183822L	17.57	1	350000.0	nan	750.0	1279767.0	NASDAQ National Market	Financial company
UNITED COMMUNITY BANCORP INC	US149186642L	0	130	17500.0	nan	75.0	59449.0	NASDAQ National Market	Financial company
TFS FINANCIAL CORP	US149195129L	2.81	2	350000.0	nan	750.0	5312341.0	NASDAQ National Market	Financial company
MAGYAR BANCORP INC	US149198162L	0.18	7	17500.0	nan	75.0	59046.0	NASDAQ National Market	Financial company
UNITED FINANCIAL BANCORP INC	US149209348L	6.37	3	175000.0	nan	750.0	664699.0	NASDAQ National Market	Financial company
LOEWS CORP	US149209459L	13.290000000000001	1	30000000.0	nan	17500.0	13781012.0	New York Stock Exchange (NYSE)	Insurance company
GREAT WESTERN BANCORP INC	US150238546L	14.95	1	350000.0	nan	1500.0	1871707.0	New York Stock Exchange (NYSE)	Financial company
CORNING INC	US160393470	16.6	1	9111000.0	28547000.0	35700.0	22055399.0	New York Stock Exchange (NYSE)	Industrial company
EASTMAN KODAK CO	US160417150	6.61	8	1798000.0	2138000.0	6400.0	537885.0	New York Stock Exchange (NYSE)	Industrial company
ELMIRA SAVINGS BANK	US160422120	0	105	21036.0	561485.0	127.0	38556.0	NASDAQ National Market	Bank
TEGNA, INC.	US160442930	18.48	1	3050945.0	8505958.0	10020.0	4958829.0	New York Stock Exchange (NYSE)	Industrial company
XEROX CORP	US160468020	20.13	1	18045000.0	24789000.0	143600.0	9957813.0	New York Stock Exchange (NYSE)	Industrial company
HARDINGE INC	US160470200	6.09	5	315249.0	311135.0	nan	138994.0	NASDAQ National Market	Industrial company
COLUMBUS MCKINNON CORP	US160547600	10.88	2	579643.0	566324.0	2747.0	304022.0	NASDAQ National Market	Industrial company
CONSTELLATION BRANDS, INC.	US160716709	16.67	3	6548400.0	16965000.0	9000.0	27843335.0	New York Stock Exchange (NYSE)	Industrial company
SENECA FOODS CORP	US160733425	6.6000000000000005	5	1286350.0	805694.0	3100.0	249823.0	NASDAQ National Market	Industrial company
MOOG INC	US160757636	18.83	2	2525532.0	3086471.0	10691.0	1789523.0	New York Stock Exchange (NYSE)	Industrial company
TAYLOR DEVICES INC	US160797789	0	108	30589.0	33665.0	nan	56508.0	NASDAQ National Market	Industrial company
FINANCIAL INSTITUTIONS, INC	US160816610	10.9	1	125650.0	3381024.0	660.0	407249.0	NASDAQ National Market	Bank
SERVOTRONICS INC	US160837866	1.02	10	36729.0	34374.0	nan	20280.0	NYSE MKT	Industrial company
MONRO MUFFLER BRAKE INC	US160838627	18.68	1	894492.0	907794.0	6557.0	2043213.0	NASDAQ National Market	Industrial company
TRANSCAT, INC.	US160874418	0.79	13	123624.0	62149.0	443.0	68369.0	NASDAQ National Market	Industrial company
COMPUTER TASK GROUP INC	US160912632	2.86	8	369478.0	163077.0	3600.0	101445.0	NASDAQ National Market	Industrial company
ASTRONICS CORPORATION	US160959303	14.200000000000001	2	692279.0	609243.0	2300.0	743058.0	NASDAQ National Market	Industrial company
RAND CAPITAL CORPORATION	US160961359	0	109	2824.0	44762.0	nan	26080.0	NASDAQ National Market	Venture capital
M&T BANK CORPORATION	US160968385	18.96	1	4667624.0	122787884.0	17476.0	18979713.0	New York Stock Exchange (NYSE)	Bank
ECOLOGY AND ENVIRONMENT, INC.	US160971022	1.6199999999999999	11	126740.0	68489.0	nan	32050.0	NASDAQ National Market	Industrial company
CONMED CORP	US160977505	19.680000000000003	1	719168.0	1101700.0	3400.0	1096461.0	NASDAQ National Market	Industrial company
PAYCHEX INC	US161124166	15.55	1	2739600.0	6482500.0	13000.0	19565378.0	NASDAQ National Market	Industrial company
SP PLUS CORPORATION	US161171179	7.45	4	1615900.0	784100.0	21974.0	503215.0	NASDAQ National Market	Industrial company
SOVRAN SELF STORAGE INC	US161194043	28.639999999999997	1	366602.0	2118822.0	1429.0	5012793.0	New York Stock Exchange (NYSE)	Financial company
GRAHAM CORP	US161194720	7.68	1	135169.0	154003.0	397.0	179388.0	New York Stock Exchange (NYSE)	Industrial company
COMMUNITY BANK SYSTEM INC	US161213679	18.55	1	350000.0	nan	3500.0	1815195.0	New York Stock Exchange (NYSE)	Bank
DOCUMENT SECURITY SYSTEMS, INC.	US161229730	1.19	4	17505.0	15657.0	104.0	10999.0	NYSE MKT	Industrial company
CHEMUNG FINANCIAL CORPORATION	US161237038	1.51	9	71008.0	1620128.0	377.0	151135.0	NASDAQ National Market	Bank
DICK'S SPORTING GOODS, INC.	US161241537	15.26	3	7270965.0	3559336.0	37200.0	3842190.0	New York Stock Exchange (NYSE)	Industrial company
NBT BANCORP, INC.	US161268674	20.36	1	371089.0	8262646.0	1721.0	1260330.0	NASDAQ National Market	Bank
CARROLS RESTAURANT GROUP, INC.	US161287774	9.29	1	859004.0	427256.0	20350.0	439964.0	NASDAQ National Market	Industrial company
EVANS BANCORP, INC.	US161332767	0	118	7230.0	105750.0	nan	102187.0	NYSE MKT	Bank
ULTRALIFE CORP.	US161387013	2.76	9	76427.0	81522.0	691.0	66070.0	NASDAQ National Market	Industrial company
QUEST DIAGNOSTICS INCORPORATED	US161387862	18.22	1	7493000.0	9962000.0	44000.0	10921909.0	New York Stock Exchange (NYSE)	Industrial company
PAR TECHNOLOGY CORP	US161434688	1.83	10	229003.0	115312.0	1010.0	70845.0	New York Stock Exchange (NYSE)	Industrial company
GIBRALTAR INDUSTRIES, INC.	US161445150	16.27	1	1040873.0	889772.0	2628.0	931765.0	NASDAQ National Market	Industrial company
TOMPKINS FINANCIAL CORP	US161482357	17.2	1	240321.0	5689995.0	998.0	995953.0	NYSE MKT	Bank
GREATBATCH, INC.	US161531026	16.419999999999998	1	800414.0	2982136.0	9559.0	976863.0	New York Stock Exchange (NYSE)	Industrial company
SYNACOR, INC.	US161542712	0.85	15	110245.0	89026.0	387.0	94570.0	NASDAQ National Market	Industrial company
PACIFIC BIOSCIENCES OF CALIFORNIA INC	US161590339	11.25	1	92782.0	131107.0	394.0	798465.0	NASDAQ National Market	Industrial company
ENLINK MIDSTREAM PARTNERS, LP	US161616605	0	144	4452100.0	8115800.0	1432.0	5230901.0	New York Stock Exchange (NYSE)	Industrial company
TESSERA TECHNOLOGIES, INC.	US161620029	23.779999999999998	1	273300.0	539352.0	264.0	1562444.0	NASDAQ National Market	Industrial company
LPATH, INC	US161630142	0.19	12	1600.0	11612.0	14.0	5926.0	NASDAQ National Market	Industrial company
INSTITUTIONAL FINANCIAL MARKETS, INC.	US161685692	2.2600000000000002	6	46156.0	308825.0	nan	9661.0	NYSE MKT	Financial company
MONEYGRAM INTERNATIONAL, INC.	US161690064	7.36	6	1434700.0	4505200.0	2820.0	348979.0	NASDAQ National Market	Financial company
VILLAGE BANK AND TRUST FINANCIAL CORP	US161694602	0	108	22542.0	419941.0	157.0	32963.0	NASDAQ National Market	Bank
SPOK HOLDINGS, INC.	US161694797	28.22	1	189628.0	390422.0	605.0	351924.0	NASDAQ National Market	Industrial company
FIDELITY NATIONAL FINANCIAL INC	US161725106	11.81	1	nan	13931000.0	nan	9468193.0	New York Stock Exchange (NYSE)	Insurance company
MORGANS HOTEL GROUP CO.	US161736884	7.58	3	219982.0	558035.0	2700.0	76142.0	NASDAQ National Market	Industrial company
LEGACY RESERVES LP	US161751069	0	120	338779.0	1613120.0	379.0	171001.0	NASDAQ National Market	Industrial company
ADESTO TECHNOLOGIES CORPORATION	US161755067	0	114	43259.0	49938.0	95.0	53781.0	NASDAQ National Market	Industrial company
ROYCE FOCUS TRUST INC	US174262263L	0	104	250.0	nan	1.0	145676.0	NASDAQ National Market	Financial company
HOME FEDERAL BANCORP INCORPORATED OF LOUISIANA	US174266790L	0	114	17500.0	nan	75.0	44047.0	NASDAQ National Market	Financial company
EQUITABLE FINANCIAL CORP	US174267189L	0	107	7500.0	nan	75.0	28688.0	NASDAQ National Market	Financial company
ANCHOR BANCORP	US180965109L	0.9199999999999999	14	17500.0	nan	175.0	59497.0	NASDAQ National Market	Financial company
HEALTH INSURANCE INNOVATIONS INC	US196306431L	0.15	27	112500.0	nan	375.0	54105.0	NASDAQ National Market	Financial company
COUNTERPATH CORPORATION	US200004161	0	109	12003.0	14223.0	82.0	9745.0	NASDAQ National Market	Industrial company
PROFIRE ENERGY, INC.	US200019425	0	114	51179.0	46856.0	108.0	57516.0	NASDAQ National Market	Industrial company
ALIMERA SCIENCES INC	US200028718	5.51	12	22438.0	70484.0	125.0	69900.0	NASDAQ National Market	Industrial company
WYNDHAM WORLDWIDE CORP.	US200052541	19.55	1	5536000.0	9689000.0	37700.0	7553380.0	New York Stock Exchange (NYSE)	Industrial company
ARBOR REALTY TRUST INC	US200057959	5.4	6	142590.0	1827392.0	39.0	354532.0	New York Stock Exchange (NYSE)	Industrial company
INFOBLOX INC.	US200062867	14.760000000000002	1	306125.0	459267.0	772.0	1078900.0	New York Stock Exchange (NYSE)	Industrial company
DIGITAL ALLY, INC	US200064269	3.12	1	20030.0	23474.0	nan	18685.0	NASDAQ National Market	Industrial company
ZION OIL & GAS, INC.	US200065053	2.25	1	0.0	10432.0	nan	62632.0	NASDAQ National Market	Industrial company
COLUMBIA PROPERTY TRUST, INC.	US200068852	19.83	1	566065.0	4678118.0	99.0	2542187.0	New York Stock Exchange (NYSE)	Financial company
CLEVELAND BIOLABS, INC.	US200077155	0.79	7	2708.0	20881.0	27.0	24282.0	NASDAQ National Market	Industrial company
NANOSTRING TECHNOLOGIES, INC.	US200094687	7.01	3	62667.0	92869.0	307.0	276026.0	NASDAQ National Market	Industrial company
WHITING PETROLEUM CORPORATION	US200098515	20.189999999999998	1	2092482.0	11389085.0	1200.0	2456710.0	New York Stock Exchange (NYSE)	Industrial company
PRONAI THERAPEUTICS, INC.	US200138994	0	108	0.0	152768.0	52.0	175617.0	NASDAQ National Market	Industrial company
XENIA HOTELS & RESORTS, INC.	US200141677	26.419999999999998	1	976144.0	3005945.0	47.0	1731612.0	New York Stock Exchange (NYSE)	Financial company
OLD LINE BANCSHARES, INC	US200154352	2.12	12	52952.0	1510089.0	233.0	191367.0	NASDAQ National Market	Bank
MEDICAL PROPERTIES TRUST INC	US200191742	28.5	1	441878.0	5609351.0	50.0	3484818.0	New York Stock Exchange (NYSE)	Financial company
MARINUS PHARMACEUTICALS, INC.	US200198082	1.44	12	0.0	59648.0	11.0	103594.0	NASDAQ National Market	Industrial company
KONA GRILL, INC.	US200216690	6.22	7	143023.0	101844.0	2743.0	137225.0	NASDAQ National Market	Industrial company
PORTOLA PHARMACEUTICALS, INC.	US200216859	14.520000000000001	1	12070.0	502924.0	137.0	1552925.0	NASDAQ National Market	Industrial company
SELECT BANCORP INC	US200218264	0.24	15	6916.0	117090.0	nan	93780.0	NASDAQ National Market	Bank
PRESS GANEY HOLDINGS, INC.	US200259496	3.3	4	318694.0	935829.0	1058.0	1800594.0	New York Stock Exchange (NYSE)	Industrial company
INTERSECT ENT, INC.	US200280837	7.500000000000001	4	61593.0	144635.0	275.0	371360.0	NASDAQ National Market	Industrial company
KRATON PERFORMANCE POLYMERS, INC.	US200411521	22.06	1	1034626.0	1092700.0	917.0	833912.0	New York Stock Exchange (NYSE)	Industrial company
AMICUS THERAPEUTICS, INC.	US200422823	16.19	1	0.0	908384.0	185.0	896972.0	NASDAQ National Market	Industrial company
DENBURY RESOURCES INC.	US200467835	21.09	1	1257560.0	5886364.0	1356.0	1377834.0	New York Stock Exchange (NYSE)	Industrial company
TRIUMPH BANCORP INC	US200477066	6.89	2	112500.0	nan	750.0	288697.0	NASDAQ National Market	Bank
PERFORMANT FINANCIAL CORPORATION	US200484934	2.26	14	159381.0	242540.0	nan	86489.0	NASDAQ National Market	Financial company
CABELA'S INCORPORATED	US200486586	12.420000000000002	2	3997702.0	8463004.0	19700.0	3364795.0	New York Stock Exchange (NYSE)	Industrial company
REACHLOCAL INC.	US200498783	0.12	23	382597.0	122196.0	1300.0	48728.0	NASDAQ National Market	Industrial company
BANK OF THE JAMES FINANCIAL GROUP, INC.	US200500300	0	118	4232.0	58444.0	nan	53111.0	NASDAQ National Market	Bank
